,alt_title,director,domestic_gross,mojo_slug,opening_per_theater,opening_weekend_take,production_budget,release_date_limited,release_date_wide,title,widest_release,worldwide_gross,year
37,30 Beats (2012),,14693.0,30beats,575.0,8624.0,,,2012-07-20,30 Beats,15.0,,2012.0
38,30 Days of Night (2007),David Slade,39568996.0,30daysofnight,5587.0,15951902.0,30000000.0,,2007-10-19,30 Days of Night,2859.0,75505973.0,2007.0
39,30 Minutes or Less (2011),Ruben Fleischer,37053924.0,30minutesorless,4616.0,13330118.0,28000000.0,,2011-08-12,30 Minutes or Less,2888.0,40547440.0,2011.0
40,3:10 to Yuma (2007) (2007),James Mangold,53606916.0,310toyuma,5292.0,14035033.0,55000000.0,,2007-09-07,3:10 to Yuma (2007),3006.0,70016220.0,2007.0
41,35 Shots of Rum (2009),,177511.0,35shotsofrum,9576.0,9576.0,,,2009-09-16,35 Shots of Rum,5.0,,2009.0
42,360 (2012),Fernando Meirelles,100343.0,360,6093.0,12186.0,,,2012-08-03,360,12.0,1663931.0,2012.0
43,3 Backyards (2011),,43073.0,3backyards,11332.0,11332.0,,,2011-03-11,3 Backyards ,3.0,,2011.0
44,3 Hearts (2015),,148162.0,3hearts,11794.0,11794.0,,,2015-03-13,3 Hearts,29.0,,2015.0
45,3 Idiots (2009),,6532874.0,3idiots,13828.0,1645502.0,,,2009-12-23,3 Idiots ,156.0,10741063.0,2009.0
46,3 Strikes (2000),,9832166.0,3strikes,5434.0,3684704.0,3400000.0,,2000-03-03,3 Strikes ,678.0,,2000.0
47,4 (2006),,20523.0,4,5815.0,5815.0,,,2006-04-07,4 ,1.0,,2006.0
48,40 Days and 40 Nights (2002),Michael Lehman,37950822.0,40daysand40nights,5496.0,12229529.0,,,2002-03-01,40 Days and 40 Nights ,2399.0,95146283.0,2002.0
49,The 40-Year-Old Virgin (2005),Judd Apatow,109449237.0,40yearoldvirgin,7529.0,21422815.0,26000000.0,,2005-08-19,The 40-Year-Old Virgin,3006.0,177378645.0,2005.0
50,42 (2013),Brian Helgeland,95020213.0,42,9153.0,27487144.0,40000000.0,,2013-04-12,42,3405.0,,2013.0
51,4:44: Last Day on Earth (2012),Abel Ferrara,17801.0,444lastdayonearth,2785.0,8355.0,,,2012-03-23,4:44:Last Day on Earth,3.0,17801.0,2012.0
52,45365 (2010),,853.0,45365,107.0,107.0,,,2010-02-26,45365,1.0,,2010.0
53,47 Ronin (2013),Carl Rinsch,38362475.0,47ronin,3686.0,9910310.0,175000000.0,,2013-12-25,47 Ronin,2690.0,150962475.0,2013.0
54,48 HRS. (1982),Walter Hill,78868508.0,48hrs,5141.0,4369868.0,,,1982-12-10,48 HRS.,1050.0,,1982.0
55,4 Little Girls (1997),,130146.0,4littlegirls,13528.0,13528.0,,,1997-07-09,4 Little Girls ,4.0,,1997.0
56,(500) Days of Summer (2009),Marc Webb,32391374.0,500daysofsummer,4577.0,3739702.0,7500000.0,2009-07-17,2009-08-07,(500) Days of Summer,1048.0,60722734.0,2009.0
57,Fifty/Fifty (1993),,229041.0,5050,,,,,1993-03-26,Fifty/Fifty ,337.0,,1993.0
58,50 First Dates (2004),Peter Segal,120908074.0,50firstdates,11097.0,39852237.0,75000000.0,,2004-02-13,50 First Dates,3612.0,196482882.0,2004.0
59,56 Up (2013),,701278.0,56up,22088.0,22088.0,,,2013-01-04,56 Up,33.0,,2013.0
60,5 Days of War (2011),Renny Harlin,17479.0,5daysofwar,3127.0,6254.0,12000000.0,,2011-08-19,5 Days of War,6.0,17479.0,2011.0
61,The 5th Quarter (2011),,408159.0,5thquarter,1645.0,202342.0,,,2011-03-25,The 5th Quarter,123.0,,2011.0
62,6 Month Rule (2012),,14057.0,6monthrule,1963.0,1963.0,,,2012-06-01,6 Month Rule,3.0,,2012.0
63,The 6th Day (2000),,34604280.0,6thday,5175.0,13020883.0,82000000.0,,2000-11-17,The 6th Day ,2516.0,96085477.0,2000.0
64,'71 (2015),,1223516.0,71,13940.0,55761.0,,,2015-02-27,'71,121.0,1578516.0,2015.0
65,7 Boxes (2014),,38106.0,7boxes,1075.0,6447.0,,,2014-02-07,7 Boxes ,7.0,305006.0,2014.0
66,7th Street (2003),,15629.0,7thstreet,6354.0,6354.0,,,2003-01-17,7th Street ,1.0,,2003.0
67,800 Bullets (2004),,866.0,800bullets,433.0,866.0,,,2004-10-29,800 Bullets ,2.0,,2004.0
68,88 Minutes (2008),Jon Avnet,17213467.0,88minutes,3209.0,6957216.0,,,2008-04-18,88 Minutes,2168.0,32593385.0,2008.0
69,8 Heads in a Duffel Bag (1997),Tom Schulman,3602884.0,8headsinaduffelbag,1303.0,2024516.0,,,1997-04-18,8 Heads in a Duffel Bag ,1553.0,,1997.0
70,8 Mile (2002),Curtis Hanson,116750901.0,8mile,20745.0,51240555.0,41000000.0,,2002-11-08,8 Mile,2585.0,242875078.0,2002.0
71,8MM (1999),Joel Schumacher,36663315.0,8mm,6013.0,14252888.0,40000000.0,,1999-02-26,8MM,2370.0,96618699.0,1999.0
72,9 (2009),,31749894.0,9,6466.0,10740446.0,30000000.0,,2009-09-09,9,2060.0,48428063.0,2009.0
73,9 Songs (2005),Michael Winterbottom,66853.0,9songs,13457.0,13457.0,,,2005-07-22,9 Songs ,3.0,1574623.0,2005.0
74,Aarakshan (Reservation) (2011),,651096.0,aarakshan,3787.0,344661.0,,,2011-08-12,Aarakshan (Reservation),91.0,651096.0,2011.0
75,The ABC's of Death (2013),,21832.0,abcsofdeath,532.0,10110.0,,,2013-03-08,The ABC's of Death,19.0,,2013.0
76,ABCs of Death 2 (2014),,7171.0,abcsofdeath2,237.0,4022.0,,,2014-10-31,ABCs of Death 2,17.0,,2014.0
77,Abduction: The Megumi Yokota Story (2006),,26859.0,abduction,5034.0,5034.0,,,2006-11-24,Abduction: The Megumi Yokota Story ,1.0,,2006.0
78,A Beautiful Life (2011),,66171.0,abeautifullife,1026.0,23605.0,,,2011-05-20,A Beautiful Life ,23.0,66171.0,2011.0
79,A Better Life (2011),Chris Weitz,1759252.0,abetterlife,15522.0,62087.0,10000000.0,,2011-06-24,A Better Life,216.0,1759252.0,2011.0
80,About a Boy (2002),Chris WeitzPaul Weitz,41385278.0,aboutaboy,7090.0,8557630.0,30000000.0,,2002-05-17,About a Boy ,1756.0,130549455.0,2002.0
