,alt_title,director,domestic_gross,mojo_slug,opening_per_theater,opening_weekend_take,production_budget,release_date_limited,release_date_wide,title,widest_release,worldwide_gross,year
2071,Love is All You Need (2013),,1631709.0,loveisallyouneed,9187.0,36746.0,,,2013-05-03,Love is All You Need,101.0,10016934.0,2013.0
2072,Love is Strange (2014),,2262223.0,loveisstrange,23455.0,117276.0,,,2014-08-22,Love is Strange,138.0,2262223.0,2014.0
2073,Lovelace (2013),,356582.0,lovelace,1564.0,184536.0,,,2013-08-09,Lovelace,118.0,1585582.0,2013.0
2074,The Lovely Bones (2009),Peter Jackson,44114232.0,lovelybones,6635.0,17005133.0,65000000.0,2009-12-11,2010-01-15,The Lovely Bones,2638.0,93621340.0,2009.0
2075,Lovely Molly (2012),,18464.0,lovelymolly,2511.0,12555.0,,,2012-05-18,Lovely Molly,5.0,18464.0,2012.0
2076,"Lovely, Still (2010)",,127564.0,lovelystill,2292.0,4584.0,,,2010-09-10,"Lovely, Still ",17.0,233083.0,2010.0
2077,Love Me If You Dare (2004),,553504.0,lovemeifyoudare,7182.0,21546.0,,,2004-05-21,Love Me If You Dare,56.0,8561371.0,2004.0
2078,The Love Punch (2014),,266588.0,lovepunch,,,,,2014-05-23,The Love Punch,121.0,4788717.0,2014.0
2079,Love Ranch (2010),Taylor Hackford,137885.0,loveranch,4020.0,44220.0,25000000.0,,2010-06-30,Love Ranch,11.0,,2010.0
2080,Loverboy (1989),,3960327.0,loverboy,1518.0,1653102.0,,,1989-04-28,Loverboy,1089.0,,1989.0
2081,"Love, Rosie (2015)",,20431.0,loverosie,993.0,14893.0,,,2015-02-06,"Love, Rosie",15.0,4439431.0,2015.0
2082,Love Story (1970),,106397186.0,lovestory,,,,,1970-12-16,Love Story,,,1970.0
2083,"Love, Wedding, Marriage (2011)",Dermot Mulroney,1926.0,loveweddingmarriage,689.0,1378.0,,,2011-06-03,"Love, Wedding, Marriage",2.0,1926.0,2011.0
2084,Luck by Chance (2009),,356019.0,luckbychance,3815.0,217439.0,,,2009-01-30,Luck by Chance,57.0,4504365.0,2009.0
2085,Lucky Number Slevin (2006),,22495466.0,luckynumberslevin,3544.0,7031921.0,,,2006-04-07,Lucky Number Slevin,1989.0,56308881.0,2006.0
2086,The Lucky One (2012),Scott Hicks,60457138.0,luckyone,7137.0,22518358.0,,,2012-04-20,The Lucky One,3175.0,99357138.0,2012.0
2087,Lucky Them (2014),,48421.0,luckythem,3728.0,3728.0,,,2014-05-30,Lucky Them,9.0,,2014.0
2088,Lucy (2014),Luc Besson,126663600.0,lucy,13835.0,43899340.0,40000000.0,,2014-07-25,Lucy,3202.0,458863600.0,2014.0
2089,The Lunchbox (2014),,4235151.0,lunchbox,14847.0,44542.0,,,2014-02-28,The Lunchbox,165.0,4235151.0,2014.0
2090,Luther (2003),,5791328.0,luther,2271.0,908446.0,30000000.0,,2003-09-26,Luther ,400.0,29413900.0,2003.0
2091,Macbeth (2007),,9613.0,macbeth,644.0,644.0,,,2007-06-15,Macbeth ,1.0,13870.0,2007.0
2092,MacGruber (2010),Jorma Taccone,8525600.0,macgruber,1585.0,4043495.0,10000000.0,,2010-05-21,MacGruber,2551.0,9322895.0,2010.0
2093,Machete (2010),Ethan ManiquisRobert Rodriguez,26593646.0,machete,4276.0,11416164.0,10500000.0,,2010-09-03,Machete,2678.0,44093316.0,2010.0
2094,Machine Gun Preacher (2011),Marc Forster,538690.0,machinegunpreacher,11283.0,45130.0,30000000.0,,2011-09-23,Machine Gun Preacher,93.0,3338690.0,2011.0
2095,The Machinist (2004),Brad Anderson,1082715.0,machinist,21553.0,64661.0,,,2004-10-22,The Machinist,72.0,8203235.0,2004.0
2096,Madagascar (2005),Eric DarnellTom McGrath,193595521.0,madagascar,11431.0,47224594.0,,,2005-05-27,Madagascar,4142.0,532680671.0,2005.0
2097,Madagascar 3: Europe's Most Wanted (2012),Eric DarnellTom McGrathConrad Vernon,216391482.0,madagascar3,14166.0,60316738.0,145000000.0,,2012-06-08,Madagascar 3:Europe's Most Wanted,4263.0,746921274.0,2012.0
2098,Mad Dog and Glory (1993),,11081586.0,maddogandglory,3475.0,3815555.0,,,1993-03-05,Mad Dog and Glory ,1118.0,,1993.0
2099,Tyler Perry's Madea Goes to Jail (2009),Tyler Perry,90508336.0,madeagoestojail,20192.0,41030947.0,,,2009-02-20,Tyler Perry's Madea Goes to Jail,2203.0,90508336.0,2009.0
2100,Tyler Perry's Madea's Big Happy Family (2011),Tyler Perry,53345287.0,madeasbighappyfamily,10957.0,25068677.0,,,2011-04-22,Tyler Perry's Madea's Big Happy Family,2288.0,54161287.0,2011.0
2101,Tyler Perry's Madea's Witness Protection (2012),Tyler Perry,65653242.0,madeaswitnessprotection,11749.0,25390575.0,20000000.0,,2012-06-29,Tyler Perry's Madea's Witness Protection,2161.0,66899242.0,2012.0
2102,Made in Dagenham (2010),,1095369.0,madeindagenham,12521.0,37563.0,,,2010-11-19,Made in Dagenham,89.0,12395087.0,2010.0
2103,Mademoiselle Chambon (2010),,531685.0,mademoisellechambon,9723.0,19446.0,,,2010-05-28,Mademoiselle Chambon ,16.0,5277124.0,2010.0
2104,Mad Money (2008),Callie Khouri,20668843.0,madmoney,3132.0,7736452.0,,,2008-01-18,Mad Money,2470.0,26412163.0,2008.0
2105,Magic in the Moonlight (2014),Woody Allen,10539326.0,magicinthemoonlight,1853.0,1786150.0,,2014-07-25,2014-08-15,Magic in the Moonlight,964.0,32339326.0,2014.0
2106,Magic Mike (2012),Steven Soderbergh,113721571.0,magicmike,13354.0,39127170.0,7000000.0,,2012-06-29,Magic Mike,3120.0,167221571.0,2012.0
2107,Magnolia (1999),Paul Thomas Anderson,22455976.0,magnolia,5507.0,5694588.0,37000000.0,1999-12-17,2000-01-07,Magnolia ,1086.0,48451803.0,1999.0
2108,Maid in Manhattan (2002),Wayne Wang,94011225.0,maidinmanhattan,6593.0,18711407.0,55000000.0,,2002-12-13,Maid in Manhattan,3050.0,154906693.0,2002.0
2109,Main Street (2011),,2560.0,mainstreet,1553.0,1553.0,,,2011-09-09,Main Street,1.0,2560.0,2011.0
2110,The Majestic (2001),Frank Darabont,27807266.0,majestic,2077.0,4904339.0,72000000.0,,2001-12-21,The Majestic,2361.0,37317558.0,2001.0
2111,Make Your Move (2014),,125106.0,makeyourmove,572.0,81172.0,,,2014-04-18,Make Your Move,142.0,1471106.0,2014.0
2112,Malcolm X (1992),Spike Lee,48169910.0,malcolmx,8782.0,9871125.0,,,1992-11-20,Malcolm X ,1249.0,,1992.0
2113,Mallrats (1995),Kevin Smith,2122561.0,mallrats,1354.0,1153838.0,,,1995-10-20,Mallrats ,852.0,,1995.0
2114,Mama (2013),Andres Muschietti,71628180.0,mama,10730.0,28402310.0,15000000.0,,2013-01-18,Mama,2781.0,146428180.0,2013.0
2115,Mambo Italiano (Canada) (2003),,6253026.0,mamboitaliano,4107.0,406651.0,,,2003-06-06,Mambo Italiano (Canada) ,100.0,,2003.0
2116,Mamma Mia! (2008),,144130063.0,mammamia,9325.0,27751240.0,52000000.0,,2008-07-18,Mamma Mia!,3194.0,609841637.0,2008.0
2117,Management (2009),,934658.0,management,1773.0,375916.0,,,2009-05-15,Management,212.0,2401743.0,2009.0
2118,Manakamana (2014),,30029.0,manakamana,3635.0,3635.0,,,2014-04-18,Manakamana ,4.0,,2014.0
2119,The Manchurian Candidate (2004),Jonathan Demme,65955630.0,manchuriancandidate,6982.0,20018620.0,80000000.0,,2004-07-30,The Manchurian Candidate,2867.0,96105964.0,2004.0
2120,Mandela (1997),,42056.0,mandela,1051.0,8413.0,,,1997-03-21,Mandela ,8.0,,1997.0
2121,Manderlay (2006),Lars Von Trier,78378.0,manderlay,7558.0,15117.0,14200000.0,,2006-01-27,Manderlay,20.0,674918.0,2006.0
2122,Manhattan (1979),Woody Allen,39946780.0,manhattan,16749.0,485734.0,,,1979-04-25,Manhattan,,,1979.0
2123,Manhunter (1986),Michael Mann,8620929.0,manhunter,2829.0,2204400.0,,,1986-08-15,Manhunter ,779.0,,1986.0
2124,Manic (2003),,69958.0,manic,7628.0,7628.0,,,2003-04-25,Manic ,15.0,,2003.0
2125,The Man in the Iron Mask (1998),Randall Wallace,56968902.0,manintheironmask,5570.0,17271450.0,,,1998-03-13,The Man in the Iron Mask,3101.0,182968902.0,1998.0
2126,A Man Named Pearl (2007),,208392.0,mannamedpearl,2792.0,8378.0,,,2007-08-31,A Man Named Pearl ,9.0,,2007.0
2127,"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby (2011)",,183342.0,mannobodyknew,15411.0,15411.0,,,2011-09-23,"The Man Nobody Knew:In Search of My Father, CIA Spymaster William Colby",8.0,,2011.0
2128,Man of Tai Chi (2013),Keanu Reeves,100144.0,manoftaichi,555.0,61054.0,,,2013-11-01,Man of Tai Chi ,110.0,100144.0,2013.0
2129,Man of the Year (2006),Barry Levinson,37327390.0,manoftheyear,4890.0,12299380.0,,,2006-10-13,Man of the Year,2626.0,41237648.0,2006.0
2130,Man on a Ledge (2012),Asger Leth,18620000.0,manonaledge,2669.0,8001932.0,42000000.0,,2012-01-27,Man on a Ledge,2998.0,46221189.0,2012.0
2131,Man on Fire (2004),Tony Scott,77911774.0,manonfire,7634.0,22751490.0,70000000.0,,2004-04-21,Man on Fire,2986.0,130293714.0,2004.0
2132,Man on the Moon (1999),,34607430.0,manonthemoon,3615.0,7515585.0,82000000.0,,1999-12-22,Man on the Moon ,2079.0,47434430.0,1999.0
2133,Man on Wire (2008),James Marsh,2962242.0,manonwire,25696.0,51392.0,,,2008-07-25,Man on Wire,93.0,5258569.0,2008.0
2134,Mansome (2012),Morgan Spurlock,36280.0,mansome,920.0,18395.0,,,2012-05-18,Mansome,20.0,,2012.0
2135,The Man Who Wasn't There (2001),Joel Coen,7504257.0,manwhowasntthere,17036.0,664404.0,,,2001-11-02,The Man Who Wasn't There ,259.0,18916623.0,2001.0
2136,The Man Without a Face (1993),Mel Gibson,24760338.0,manwithoutaface,4655.0,4026775.0,,,1993-08-27,The Man Without a Face ,1332.0,24760338.0,1993.0
2137,The Man with the Iron Fists (2012),RZA,15634090.0,manwiththeironfists,4235.0,7910980.0,15000000.0,,2012-11-02,The Man with the Iron Fists,1872.0,19721245.0,2012.0
2138,Mao's Last Dancer (2010),,4817770.0,maoslastdancer,6050.0,199657.0,,,2010-08-20,Mao's Last Dancer,137.0,22269123.0,2010.0
2139,Maps to the Stars (2015),David Cronenberg,350741.0,mapstothestars,2173.0,143422.0,,,2015-02-27,Maps to the Stars,66.0,1338365.0,2015.0
2140,March of the Penguins (2005),Luc Jacquet,77437223.0,marchofthepenguins,6305.0,4382340.0,,2005-06-24,2005-07-22,March of the Penguins,2506.0,127392693.0,2005.0
2141,Margaret (2011),Kenneth Lonergan,46495.0,margaret,3763.0,7525.0,14000000.0,,2011-09-30,Margaret,14.0,46495.0,2011.0
2142,Margin Call (2011),J.C. Chandor,5354039.0,margincall,10034.0,561906.0,3500000.0,,2011-10-21,Margin Call,199.0,19504039.0,2011.0
2143,Margot at the Wedding (2007),Noah Baumbach,1959420.0,margotatthewedding,40517.0,81035.0,,,2007-11-16,Margot at the Wedding,121.0,2897757.0,2007.0
2144,Maria Full of Grace (2004),,6529624.0,mariafullofgrace,19866.0,139066.0,,,2004-07-16,Maria Full of Grace,127.0,12594630.0,2004.0
2145,Marie Antoinette (2006),Sofia Coppola,15962471.0,marieantoinette,6241.0,5361050.0,40000000.0,,2006-10-20,Marie Antoinette,870.0,60917189.0,2006.0
2146,Marina Abramovic: The Artist is Present (2012),,86637.0,marinaabramovic,5521.0,11041.0,,,2012-06-13,Marina Abramovic:The Artist is Present,5.0,86637.0,2012.0
2147,The Marine (2006),,18844784.0,marine,2805.0,7138774.0,,,2006-10-13,The Marine,2545.0,22165608.0,2006.0
2148,Marley (2012),Kevin Macdonald,1413480.0,marley,6238.0,262004.0,,,2012-04-20,Marley,73.0,1413480.0,2012.0
2149,Marley and Me (2008),David Frankel,143153751.0,marleyandme,10448.0,36357586.0,,,2008-12-25,Marley and Me,3505.0,242717113.0,2008.0
2150,Marmaduke (2010),Tom Dey,33644788.0,marmaduke,3610.0,11599661.0,50000000.0,,2010-06-04,Marmaduke,3213.0,83761844.0,2010.0
2151,Married to the Mob (1988),Jonathan Demme,21486757.0,marriedtothemob,3921.0,3231056.0,,,1988-08-19,Married to the Mob ,828.0,,1988.0
2152,Mars Attacks! (1996),Tim Burton,37771017.0,marsattacks,4800.0,9384272.0,,,1996-12-13,Mars Attacks! ,1955.0,101371017.0,1996.0
2153,Mars Needs Moms (2011),Simon Wells,21392758.0,marsneedsmoms,2218.0,6914488.0,150000000.0,,2011-03-11,Mars Needs Moms,3117.0,38992758.0,2011.0
2154,Martha Marcy May Marlene (2011),,2990625.0,marthamarcymaymarlene,34413.0,137651.0,,,2011-10-21,Martha Marcy May Marlene,183.0,3538446.0,2011.0
2155,Marwencol (2010),,112036.0,marwencol,3276.0,3276.0,,,2010-10-08,Marwencol ,6.0,,2010.0
2156,M.A.S.H. (1970),Robert Altman,81600000.0,mash,,,3500000.0,,1970-01-25,M.A.S.H.,,,1970.0
2157,The Mask (1994),,119938730.0,mask,9795.0,23117068.0,23000000.0,,1994-07-29,The Mask,2516.0,351583407.0,1994.0
2158,The Mask of Zorro (1998),Martin Campbell,94095523.0,maskofzorro,8956.0,22525855.0,95000000.0,,1998-07-17,The Mask of Zorro ,2515.0,250288523.0,1998.0
2159,Masquerade (1988),,15855828.0,masquerade,3398.0,3500259.0,,,1988-03-11,Masquerade ,1031.0,,1988.0
2160,Master and Commander: The Far Side of the World (2003),Peter Weir,93927920.0,masterandcommander,8096.0,25105990.0,150000000.0,,2003-11-14,Master and Commander:The Far Side of the World,3101.0,212011111.0,2003.0
2161,The Master of Disguise (2002),,40388794.0,masterofdisguise,4894.0,12554650.0,16000000.0,,2002-08-02,The Master of Disguise,2568.0,43411001.0,2002.0
2162,The Matador (2005),,12594698.0,matador,4082.0,3612663.0,12500000.0,2005-12-30,2006-01-27,The Matador,905.0,17306281.0,2005.0
2163,Match Point (2005),Woody Allen,23151529.0,matchpoint,49824.0,398593.0,15000000.0,,2005-12-28,Match Point,512.0,85306374.0,2005.0
2164,Matchstick Men (2003),Ridley Scott,36906460.0,matchstickmen,4827.0,13087307.0,,,2003-09-12,Matchstick Men,2711.0,65565672.0,2003.0
2165,The Matrix (1999),Andy & Lana Wachowski,171479930.0,matrix,9753.0,27788331.0,63000000.0,,1999-03-31,The Matrix,2903.0,463517383.0,1999.0
2166,The Matrix Reloaded (2003),Andy & Lana Wachowski,281576461.0,matrixreloaded,25471.0,91774413.0,150000000.0,,2003-05-15,The Matrix Reloaded,3603.0,742128461.0,2003.0
2167,The Matrix Revolutions (2003),Andy & Lana Wachowski,139313948.0,matrixrevolutions,13842.0,48475154.0,150000000.0,,2003-11-05,The Matrix Revolutions,3502.0,427343298.0,2003.0
2168,Matru Ki Bijlee Ka Mandola (2013),,,matrukibijleekamandola,,,,,2013-01-11,Matru Ki Bijlee Ka Mandola,,6009116.0,2013.0
2169,Max (2002),,539879.0,max,5026.0,30157.0,,,2002-12-27,Max,37.0,539879.0,2002.0
2170,Max Keeble's Big Move (2001),Tim Hill,17294293.0,maxkeeblesbigmove,2670.0,5377958.0,25000000.0,,2001-10-05,Max Keeble's Big Move ,2045.0,18634654.0,2001.0
2171,Max Payne (2008),John Moore,40689393.0,maxpayne,5225.0,17639849.0,35000000.0,,2008-10-17,Max Payne,3381.0,85416905.0,2008.0
2172,May (2003),,150277.0,may,3887.0,34989.0,,,2003-02-07,May,9.0,150277.0,2003.0
2173,The Maze Runner (2014),Wes Ball,102427862.0,mazerunner,9021.0,32512804.0,34000000.0,,2014-09-19,The Maze Runner,3638.0,340750640.0,2014.0
2174,McCanick (2014),,2572.0,mccanick,241.0,1929.0,,,2014-03-21,McCanick,8.0,,2014.0
2175,Mean Creek (2004),Jacob Aaron Estes,603951.0,meancreek,7292.0,29170.0,,,2004-08-20,Mean Creek,49.0,603951.0,2004.0
2176,Me and Orson Welles (2009),Richard Linklater,1190003.0,meandorsonwelles,15910.0,63638.0,25000000.0,,2009-11-25,Me and Orson Welles ,134.0,2336172.0,2009.0
2177,Me and You and Everyone We Know (2005),Miranda July,3885134.0,meandyouandeveryoneweknow,30801.0,30801.0,,,2005-06-17,Me and You and Everyone We Know,160.0,8012838.0,2005.0
2178,Mean Girls (2004),Mark S. Waters,86058055.0,meangirls,8605.0,24432195.0,17000000.0,,2004-04-30,Mean Girls,3054.0,129042871.0,2004.0
2179,Mean Machine (2002),,92770.0,meanmachine,,,,,2002-02-22,Mean Machine ,1.0,7310206.0,2002.0
2180,The Mechanic (2011),Simon West,29121498.0,mechanic,4226.0,11422006.0,40000000.0,,2011-01-28,The Mechanic,2704.0,62040498.0,2011.0
